OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
TDRS 3,1988-091B,19548,PAY,+,US,1988-09-29,AFETR,,1436.0,12.54,35946,35624,38.9782,,EA,ORB
FLTSATCOM 8 (USA 46),1989-077A,20253,PAY,+,US,1989-09-25,AFETR,,1435.99,12.4,35795,35774,32.5418,,EA,ORB
TDRS 5,1991-054B,21639,PAY,+,US,1991-08-02,AFETR,,1436.05,14.06,35824,35747,20.8608,,EA,ORB
TDRS 6,1993-003B,22314,PAY,+,US,1993-01-13,AFETR,,1435.99,14.19,35823,35746,28.6701,,EA,ORB
UFO 2 (USA 95),1993-056A,22787,PAY,+,US,1993-09-03,AFETR,,1436.07,11.92,35792,35780,0.003,,EA,ORB
UFO 4 (USA 108),1995-003A,23467,PAY,+,US,1995-01-29,AFETR,,1436.04,9.69,35797,35774,30.352,,EA,ORB
TDRS 7,1995-035B,23613,PAY,+,US,1995-07-13,AFETR,,1436.03,13.3,35835,35735,22.3872,,EA,ORB
USA 115 (MILSTAR-1 2),1995-060A,23712,PAY,+,US,1995-11-06,AFETR,,1436.09,14.1,35813,35760,,,EA,ORB
INMARSAT 3-F1,1996-020A,23839,PAY,B,IM,1996-04-03,AFETR,,1440.0,10.76,35890,35836,1.1784,,EA,ORB
INMARSAT 3-F2,1996-053A,24307,PAY,B,IM,1996-09-06,TYMSC,,1440.35,10.03,35894,35846,830.0351,,EA,ORB
INMARSAT 3-F3,1996-070A,24674,PAY,B,IM,1996-12-18,AFETR,,1440.05,10.48,35886,35842,28.1837,,EA,ORB
USA 134,1997-065A,25019,PAY,+,US,1997-10-25,AFETR,,1436.11,12.88,35797,35777,,,EA,ORB
INMARSAT 3-F5,1998-006B,25153,PAY,+,IM,1998-02-04,FRGUI,,1436.12,9.86,35806,35768,14.5,,EA,ORB
USA 139,1998-029A,25336,PAY,+,US,1998-05-09,AFETR,,1436.13,7.32,35980,35594,,NEA,EA,ORB
