OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE,has_public_gp_history
TDRS 3,1988-091B,19548,PAY,+,US,1988-09-29,AFETR,,1436.0,12.54,35946,35624,38.9782,,EA,ORB,True
FLTSATCOM 8 (USA 46),1989-077A,20253,PAY,+,US,1989-09-25,AFETR,,1435.99,12.4,35795,35774,32.5418,,EA,ORB,True
TDRS 5,1991-054B,21639,PAY,+,US,1991-08-02,AFETR,,1436.05,14.06,35824,35747,20.8608,,EA,ORB,True
TDRS 6,1993-003B,22314,PAY,+,US,1993-01-13,AFETR,,1435.99,14.19,35823,35746,28.6701,,EA,ORB,True
UFO 2 (USA 95),1993-056A,22787,PAY,+,US,1993-09-03,AFETR,,1436.07,11.92,35792,35780,0.003,,EA,ORB,True
UFO 4 (USA 108),1995-003A,23467,PAY,+,US,1995-01-29,AFETR,,1436.04,9.69,35797,35774,30.352,,EA,ORB,True
TDRS 7,1995-035B,23613,PAY,+,US,1995-07-13,AFETR,,1436.03,13.3,35835,35735,22.3872,,EA,ORB,True
USA 115 (MILSTAR-1 2),1995-060A,23712,PAY,+,US,1995-11-06,AFETR,,1436.09,14.1,35813,35760,,,EA,ORB,True
USA 134,1997-065A,25019,PAY,+,US,1997-10-25,AFETR,,1436.11,12.88,35797,35777,,,EA,ORB,True
USA 139,1998-029A,25336,PAY,+,US,1998-05-09,AFETR,,1436.13,7.32,35980,35594,,NEA,EA,ORB,False
UFO 10 (USA 146),1999-063A,25967,PAY,+,US,1999-11-23,AFETR,,1436.11,9.9,35802,35772,0.5186,,EA,ORB,True
ASIASTAR,2000-016A,26107,PAY,+,US,2000-03-21,FRGUI,,1436.07,9.31,35803,35769,25.1188,,EA,ORB,True
TDRS 8,2000-034A,26388,PAY,+,US,2000-06-30,AFETR,,1436.08,12.81,35795,35778,26.766,,EA,ORB,True
USA 153,2000-065A,26575,PAY,+,US,2000-10-20,AFETR,,1436.09,11.76,35794,35779,,,EA,ORB,True
USA 157 (MILSTAR-2 2),2001-009A,26715,PAY,+,US,2001-02-27,AFETR,,1436.09,11.63,35967,35606,,,EA,ORB,True
DIRECTV 5 (TEMPO 1),2002-023A,27426,PAY,+,US,2002-05-07,TYMSC,,1436.1,5.07,35801,35772,12.5892,,EA,ORB,True
GALAXY 3C (G-3C),2002-030A,27445,PAY,+,US,2002-06-15,SEAL,,1436.1,3.93,35792,35781,33.4954,,EA,ORB,True
USA 167,2003-008A,27691,PAY,+,US,2003-03-11,AFETR,,1436.07,11.11,35799,35774,,,EA,ORB,True
USA 170,2003-040A,27875,PAY,+,US,2003-08-29,AFETR,,1436.18,10.64,35797,35779,,,EA,ORB,True
USA 171,2003-041A,27937,PAY,+,US,2003-09-09,AFETR,,1436.09,15.13,35941,35632,,NEA,EA,ORB,False
GALAXY 13 (HORIZONS-1),2003-044A,27954,PAY,+,US,2003-10-01,SEAL,,1436.12,1.62,35795,35779,25.4101,,EA,ORB,True
UFO 11 (USA 174),2003-057A,28117,PAY,+,US,2003-12-18,AFETR,,1436.1,9.01,35802,35772,10.0,,EA,ORB,True
USA 176 (DSP 22),2004-004A,28158,PAY,P,US,2004-02-14,AFETR,,1436.16,12.17,35797,35778,,,EA,ORB,True
DIRECTV 8,2005-019A,28659,PAY,+,US,2005-05-22,TYMSC,,1436.12,0.02,35800,35774,16.6707,,EA,ORB,True
ECHOSTAR 10,2006-003A,28935,PAY,+,US,2006-02-15,SEAL,,1435.98,0.06,35793,35776,22.7066,,EA,ORB,True
GALAXY 16 (G-16),2006-023A,29236,PAY,+,US,2006-06-18,SEAL,,1436.11,0.01,35799,35775,251.785,,EA,ORB,True
